#wl in A            flux in erg/cm^2/s/A
1414.23509254646   2.53287908481115
1414.23509254646   4.23161379345089
1433.78113351574   2.56825743597069
1438.70970885322   1.79065552969238
1446.13435595397   1.24849136270718
1473.68738235815   0.858489405100032
1496.62078872841   0.574164245593572
1514.7043367744   0.389369066353757
1530.37833088841   0.016476595119257
1535.63895590454   0.008949674265472
1556.86291089217   0.011173591019485
1562.21457577817   0.014342554407502
1589.25011076984   0.017416619158621
1594.71310558678   0.024296413413601
1605.69549636566   0.03118716540493
1611.21502165295   0.041158338186665
1622.31105700539   0.05283133271436
1633.48350798137   0.069722587175751
1644.73290083621   0.087048047874524
1661.75241624985   0.118110676394006
1673.196490014   0.147460159321419
1678.9480477397   0.184102735256216
1696.32161773558   0.256825743597069
1708.00376095455   0.329664580918035
1725.67799627953   0.435065070307563
1749.52846710495   0.543174982494584
1773.70857356333   0.697225871757513
1785.92366141486   0.870480478745238
1804.40420331171   1.11735910194851
1835.63104867221   1.51608269833196
1854.62595715294   1.89281615401725
1886.72193534857   2.49798807877256
1906.24552671322   3.11871654049304
1932.59160832229   3.89369066353757
1959.30181722054   4.7282321880432
1979.57645723121   5.74164245593572
2006.93604032937   7.16839101398858
2013.83481674722   9.72639285994487
2041.66788215548   12.4849136270718
2062.79483715967   16.0257837124139
2084.14041157383   21.1495535800634
2127.49649104013   28.6966582222879
2149.51159106234   36.8353720078807
2186.71083163799   45.9886437939449
2216.93320394966   59.0315704764601
2270.83091890412   75.7736263876537
2318.07069470224   100.
2382.58926299323   131.972039306138
2457.32159364312   164.765951192565
2482.74968760172   217.444985870983
2499.84776447828   279.114971637539
2543.10988913023   435.065070307563
2560.62365163598   659.594625741875
2604.93755793776   894.967426547249
2622.87711215326   1558.73068275443
