# Numerical radiation field:  solar
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
70.85782 1.59512e+03
70.86230 1.46418e+03
70.86678 1.52671e+03
70.87127 1.48377e+03
70.87575 1.54263e+03
70.88024 1.58213e+03
70.88472 1.56967e+03
70.88921 1.62866e+03
70.89369 1.64009e+03
70.89818 1.60805e+03
70.90266 1.71090e+03
70.90715 1.58148e+03
70.91163 1.69481e+03
70.91612 1.70658e+03
70.92060 1.72548e+03
70.92508 1.62500e+03
70.92957 1.56803e+03
70.93405 1.56162e+03
70.93854 1.47580e+03
70.94302 1.47909e+03
70.94751 1.54400e+03
70.95199 1.59328e+03
70.95648 1.55143e+03
70.96096 1.45059e+03
70.96545 1.41784e+03
70.96993 1.53488e+03
70.97441 1.58482e+03
70.97890 1.60363e+03
70.98338 1.63235e+03
70.98787 1.54753e+03
70.99235 1.55526e+03
70.99684 1.62771e+03
71.00343 1.55498e+03
71.00791 1.52601e+03
71.01239 1.62357e+03
71.01687 1.47128e+03
71.02135 1.53971e+03
71.02583 1.49150e+03
71.03031 1.56052e+03
71.03478 1.46503e+03
71.03927 1.52396e+03
71.04374 1.50647e+03
71.04822 1.48062e+03
71.05270 1.52878e+03
71.05718 1.66370e+03
71.06166 1.62112e+03
71.06614 1.72002e+03
71.07062 1.93561e+03
71.07510 2.03581e+03
71.07958 2.55352e+03
71.08406 3.53256e+03
71.08854 4.60578e+03
71.09302 5.09174e+03
71.09749 4.30502e+03
71.10197 3.22598e+03
71.10645 2.33495e+03
71.11093 1.81521e+03
71.11541 1.61421e+03
71.11989 1.72589e+03
71.12437 1.65085e+03
71.12885 1.58922e+03
71.13333 1.64719e+03
71.13781 1.65244e+03
71.14229 1.48541e+03
71.14677 1.67666e+03
71.15125 1.74522e+03
71.15573 1.66354e+03
71.16021 1.64391e+03
71.16469 1.69129e+03
71.16917 1.60171e+03
71.17364 1.63140e+03
71.17812 1.66354e+03
71.18260 1.58585e+03
71.18708 1.58347e+03
71.19156 1.60637e+03
71.19604 1.61146e+03
71.20052 1.55743e+03
71.20500 1.69514e+03
71.20948 1.68404e+03
71.21396 1.68536e+03
71.21844 1.56733e+03
71.22292 1.67925e+03
71.22740 1.62635e+03
71.23188 1.57959e+03
71.23636 1.62110e+03
71.24084 1.66482e+03
71.24532 1.82328e+03
71.24980 2.06514e+03
71.25428 2.59896e+03
71.25876 3.23192e+03
71.26324 3.78363e+03
71.26772 4.04396e+03
71.27220 3.36417e+03
71.27668 2.63027e+03
71.28116 2.20302e+03
71.28564 1.97307e+03
71.29012 1.85627e+03
71.29460 1.60047e+03
71.29908 1.46178e+03
71.30356 1.41182e+03
71.30804 1.61929e+03
71.31252 1.60080e+03
71.31699 1.55237e+03
71.32147 1.67098e+03
71.32595 1.68600e+03
71.33043 1.67023e+03
71.33491 1.57853e+03
71.33939 1.78055e+03
71.34387 1.71877e+03
71.34835 1.73283e+03
71.35283 1.80064e+03
