30  6 1.805E-09 0.6906 1.794E+03 8.293E+07
36  6 2.330E-09 0.6908 2.631E+03 1.171E+08
42  6 2.791E-09 0.6893 3.801E+03 1.583E+08
54  6 3.626E-09 0.6904 6.985E+03 2.542E+08
 8  7 6.622E-11 0.6109 4.136E+00 4.214E+06 0.4093 8.770E+04
 9  7 5.595E-10 0.7083 1.462E+00 6.258E+06 0.1645 1.880E+05
10  7 8.321E-10 0.7254 3.332E+00 8.696E+06 0.0921 3.044E+05
11  7 1.087E-09 0.7284 6.132E+00 1.088E+07 0.0629 4.559E+05
12  7 7.515E-10 0.7203 2.582E+01 1.355E+07 0.0436 5.691E+05
13  7 7.728E-10 0.7152 4.818E+01 1.672E+07 0.0271 7.209E+05
14  7 7.532E-10 0.7072 8.860E+01 1.997E+07 0.0185 6.949E+05
15  7 1.570E-09 0.7190 4.177E+01 2.438E+07
16  7 1.137E-09 0.7080 1.099E+02 2.745E+07
17  7 1.146E-09 0.7033 1.593E+02 3.034E+07
18  7 1.022E-09 0.6948 2.747E+02 3.391E+07
19  7 9.722E-10 0.6898 4.087E+02 3.753E+07
20  7 9.575E-10 0.6843 5.634E+02 4.150E+07
21  7 1.011E-09 0.6827 6.726E+02 4.518E+07
22  7 1.043E-09 0.6798 8.226E+02 4.947E+07
23  7 1.049E-09 0.6763 1.032E+03 5.381E+07
24  7 1.053E-09 0.6736 1.278E+03 5.857E+07
25  7 1.089E-09 0.6713 1.488E+03 6.327E+07
26  7 1.135E-09 0.6705 1.691E+03 6.809E+07
27  7 1.177E-09 0.6687 1.921E+03 7.331E+07
28  7 1.172E-09 0.6652 2.320E+03 7.926E+07
29  7 1.295E-09 0.6672 2.319E+03 8.388E+07
30  7 1.250E-09 0.6640 2.899E+03 8.992E+07
36  7 1.497E-09 0.6596 4.992E+03 1.277E+08
42  7 1.748E-09 0.6593 7.627E+03 1.705E+08
54  7 2.624E-09 0.6641 1.134E+04 2.699E+08
 9  8 3.769E-11 0.5559 1.091E+01 6.413E+06 0.4534 1.095E+05
10  8 1.773E-10 0.6434 9.924E+00 8.878E+06 0.2205 2.292E+05
11  8 3.192E-10 0.6726 1.640E+01 1.263E+07 0.1232 3.725E+05
12  8 4.031E-10 0.6803 3.205E+01 1.626E+07 0.0764 5.399E+05
13  8 4.438E-10 0.6789 6.204E+01 1.940E+07 0.0571 7.410E+05
14  8 4.615E-10 0.6753 1.143E+02 2.377E+07 0.0356 8.595E+05
15  8 5.508E-10 0.6748 1.501E+02 2.772E+07 0.0213 1.109E+06
16  8 8.773E-10 0.6853 1.115E+02 3.386E+07
17  8 7.522E-10 0.6767 2.213E+02 3.678E+07
18  8 6.805E-10 0.6667 3.866E+02 4.062E+07
19  8 6.633E-10 0.6599 5.735E+02 4.447E+07
20  8 6.699E-10 0.6546 7.761E+02 4.861E+07
